Transfection,Replicate,Receptor ,Peptide ,0,1.00E-12,1.00E-11,1.00E-10,0.000000001,0.00000001,0.0000001,0.000001,0.00001,0.0001,atp
2,4,BfloR2,CRZ-ext,3856.73999,3874.699802,2005.9799,1818.513734,1834.016552,1995.564967,1252.987358,1815.364712,1502.553884,1499.40948,30958.16115
2,5,BfloR2,CRZ-ext,3892.297617,2413.13854,2110.568202,2332.101123,2698.379679,1997.010041,1588.349185,1639.24342,1325.07851,1887.343287,54890.71846
3,6,BfloR2,GnRH,3621.51539,2927.703485,2774.40272,11053.40432,27041.32295,42558.96456,52132.98383,51300.09327,58149.49199,64925.20665,51298.62342
3,7,BfloR2,GnRH,3056.980686,2757.050194,2960.763861,10245.25702,24708.49234,42189.54233,50921.30376,58615.14063,60730.32646,58284.2214,57189.88797
3,8,BfloR2,GnRH,3319.473514,2851.296091,2791.558144,8953.179848,23835.74942,40826.14239,50850.75562,53867.07843,52267.43209,48620.53721,49244.89061
3,6,BfloR2,CRZ-ext,3734.0206,2176.235522,2695.278123,1962.548864,2242.612542,1873.425576,1402.018019,1155.391272,1479.307496,843.3944704,57290.06442
3,7,BfloR2,CRZ-ext,3639.91116,2626.00217,1886.681205,1377.37791,1883.715074,1836.889129,1271.831743,1657.860575,1071.300956,990.2393116,49533.50764
3,8,BfloR2,CRZ-ext,1904.677746,1256.641044,923.908416,1886.606946,941.7677104,1086.679933,1552.067092,1248.526172,2162.857602,1393.398926,46909.70743
3,7,BfloR2,CRZ,5411.249937,2964.979013,2092.184099,1961.276604,1732.694238,1666.941515,1196.802122,1192.228168,1405.058744,1063.622406,40369.03282
3,8,BfloR2,CRZ,4413.265105,3901.367028,2490.591099,2094.048018,1638.513814,1743.249996,1832.127852,1433.894212,1053.540575,1430.769427,45943.03405
1,1,BfloR1,CRZ,836.6871046,923.5893836,1846.569095,2641.400449,2534.16351,5023.491638,991.794547,1532.599072,2361.707085,35877.23018,35910.36874
